rt_name,perplexity,avg_log_likelihood,molecular_weight,aromaticity,instability_index,isoelectric_point,helix,turn,sheet,gravy,arginine_r_charge,lysine_k_charge,aspartate_d_charge,glutamate_e_charge,native_net_charge,t40_raw,t45_raw,t50_raw,t55_raw,t60_raw,t65_raw,t70_raw,t75_raw,t80_raw,thermophilicity_num,clash_binary,triad_found_bin,D1_D2_dist,D2_D3_dist,triad_best_rmsd,n_hydrophobic_contacts,n_salt_bridges,n_hbonds,hydrophobic_per_res,salt_per_res,hbonds_per_res,pocket_hydrophobic,pocket_salt_bridges,pocket_hbonds,pocket_hydrophobic_per_res,pocket_hbonds_per_res,whole_hydrophobic_fraction,whole_mean_hydrophobicity,whole_std_hydrophobicity,yxdd_hydrophobic_fraction,yxdd_mean_hydrophobicity,hairpin_pass,best_confidence,best_s1_len,best_turn_len,best_s2_len,n_strands_total,n_hairpins_found,pct_E,pct_H,thumb_total_residues,thumb_surface_residues,thumb_surface_positive,thumb_surface_negative,thumb_surface_net_charge,thumb_charge_ratio,thumb_fident,thumb_charge_class_num,has_dgr_motif,ramachandran_favoured,ramachandran_allowed,ramachandran_outliers,g_factor_dihedrals,g_factor_covalent,g_factor_overall,camsol_score,camsol_mean_profile,camsol_min_profile,camsol_frac_poor,camsol_frac_good,sasa_total,sasa_avg,sasa_high_pct,sasa_medium_pct,sasa_low_pct,yxdd_y_is_strand,yxdd_x_is_turn,yxdd_d1_is_turn,yxdd_d2_is_strand,qg_motif_found,sp_motif_found,sp_s_is_helix,sp_p_is_helix,foldseek_best_TM,foldseek_best_LDDT,foldseek_best_fident,foldseek_TM_HIV1,foldseek_TM_MMLV,foldseek_TM_MMLVPE,foldseek_TM_Retron,foldseek_TM_LTRRetrotransposon,foldseek_TM_Group2Intron,foldseek_TM_Telomerase,rnaseH_dedd_found,rnaseH_dedd_rmsd,palm_rnaseH_contact_density,rnaseH_cterminal_helix_frac,palm_rnaseH_com_dist,palm_internal_rmsd,palm_contact_entropy,palm_plddt_mean,palm_plddt_cv,palm_charge_density_pos,palm_charge_density_neg
TCDM_11122-RT,6.561050415039063,-1.881150722503662,68214.1732,0.0789473684210526,47.83009868421061,9.241043281555177,0.3042763157894737,0.2911184210526316,0.3552631578947368,-0.3080592105263158,48,22,24,33,13,0.01811,0.0147,0.03523,0.05276,0.04751,0.1372,0.09411,0.02811,0.02816,0,0,1.0,15.1654,3.8907,9.4034,253.0,11.0,860.0,0.416,0.0181,1.414,8.0,0.0,12.0,0.381,0.571,0.3602,-0.3081,2.9865,0.5294,0.6118,1.0,0.706,8.0,11.0,7.0,18.0,2.0,14.2,43.2,89.0,56.0,7.0,8.0,-1.0,0.875,0.166,0.0,0,82.2,14.5,3.4,-0.22,-1.11,-0.55,0.022037,-0.0399861589180822,-3.3470321656337445,0.1759868421052631,0.1513157894736842,2637.07,131.85,30.0,65.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.8391,0.4816,0.095,0.6797,0.6795,0.6047,0.8391,0.4806,0.832,0.7207,1.0,11.483730069526594,0.0,0.915,36.02274584473023,12.735049045252426,3.940248154788896,0.911404958677686,0.1349436504688752,0.1487603305785124,0.0909090909090909
Tel4c-RT,3.743699073791504,-1.320074200630188,64439.5719,0.0802139037433155,42.62212121212123,10.075070762634276,0.3351158645276292,0.2370766488413547,0.3493761140819964,-0.6459893048128342,46,57,29,30,44,0.9585,0.9434,0.8779,0.8504,0.6641,0.4273,0.1145,0.009204,0.009872,2,0,1.0,11.703,3.7905,6.9634,254.0,26.0,906.0,0.453,0.0463,1.615,11.0,0.0,11.0,0.478,0.478,0.3333,-0.646,3.1234,0.6842,1.4053,1.0,0.692,7.0,5.0,6.0,16.0,1.0,16.2,48.0,69.0,46.0,14.0,5.0,9.0,2.8,0.168,1.0,0,90.6,8.8,0.6,0.11,-0.4,-0.1,1.587499,0.2242293527796836,-2.637328204541357,0.0909090909090909,0.2192513368983957,2768.03,138.4,30.0,65.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8699,0.6777,0.215,0.689,0.684,0.5632,0.8161,0.5836,0.8699,0.7038,1.0,10.163132613429129,0.0,0.855,38.723953688892784,11.25095150772597,3.939372203773508,0.9231404958677684,0.0340863029869472,0.1735537190082644,0.1239669421487603
Tf1-RT,6.449528217315674,-1.8640069961547847,58402.7327,0.0891089108910891,44.75089108910895,9.1707727432251,0.3287128712871287,0.2673267326732673,0.3643564356435643,-0.4978217821782178,20,53,25,34,14,0.4,0.4115,0.3665,0.6951,0.3658,0.5852,0.609,0.4164,0.2555,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3485,-0.4978,3.1852,,,,,,,,,,,,,,,,,,,,1,0.0,100.0,0.0,,,,0.758089,0.0134524002256339,-2.2341633134410817,0.1425742574257425,0.1346534653465346,2879.63,143.98,50.0,45.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9132,0.7019,0.217,0.9132,0.8958,0.8981,0.7938,0.6078,0.672,0.4754,1.0,20.97472194481433,0.0006611570247933,0.8,35.75266364633864,10.494724777265365,3.935043487353164,0.9664462809917356,0.0192712067249842,0.2066115702479339,0.0991735537190082
Thr-RT,17.149066925048828,-2.8419437408447266,70457.1847,0.1125827814569536,40.56428807947029,9.831444740295408,0.3278145695364238,0.2831125827814569,0.390728476821192,-0.4264900662251656,34,66,26,35,39,0.582,0.6618,0.5417,0.6727,0.3727,0.6455,0.5098,0.5569,0.1124,1,1,1.0,36.1293,3.8033,21.4477,244.0,13.0,917.0,0.404,0.0215,1.518,7.0,0.0,10.0,0.304,0.435,0.3493,-0.4265,3.1589,0.5263,0.9895,1.0,0.665,7.0,5.0,7.0,11.0,1.0,9.5,51.9,105.0,76.0,15.0,11.0,4.0,1.364,0.169,1.0,0,77.7,20.7,1.6,-0.27,-1.73,-0.8,0.345482,-0.0167148173143658,-2.324550345952633,0.1357615894039735,0.1341059602649006,2424.94,121.25,10.0,75.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7625,0.4921,0.072,0.6362,0.6363,0.5438,0.7625,0.4164,0.7468,0.6904,1.0,5.7020290729108325,0.0257024793388429,0.83,26.60887047392273,12.016185231853122,3.9481353526208944,0.6503305785123968,0.3711494342976482,0.0909090909090909,0.1157024793388429
Ty1B-RT,12.42147159576416,-2.5194265842437744,75367.4102,0.0903522205206738,41.10826952526809,8.935849952697758,0.3261868300153139,0.2879019908116386,0.3797856049004594,-0.6032159264931087,25,68,39,43,11,0.2134,0.1461,0.1849,0.4104,0.3734,0.7197,0.7391,0.5478,0.4804,1,1,0.0,,,,258.0,21.0,868.0,0.395,0.0322,1.329,10.0,0.0,7.0,0.455,0.318,0.3139,-0.6032,3.0935,,,1.0,0.755,2.0,8.0,2.0,22.0,2.0,19.5,36.8,16.0,16.0,2.0,1.0,1.0,2.0,0.25,0.0,0,80.4,17.6,2.0,-0.22,-1.0,-0.5,0.953931,0.121471365819174,-3.035240559929637,0.1301684532924961,0.1914241960183767,2744.89,137.24,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8077,0.4917,0.083,0.7986,0.8049,0.8077,0.6528,0.4835,0.5322,0.5155,1.0,3.698641049904501,0.0005785123966942,0.8,40.304229909514255,11.136710223928452,3.987900242057098,0.8636363636363636,0.1812483621121211,0.2396694214876033,0.140495867768595
Ty3-RT,5.600403308868408,-1.7228386402130127,54744.4057,0.0941422594142259,45.91924686192469,9.187470054626464,0.3075313807531381,0.2782426778242678,0.3765690376569037,-0.4230125523012553,25,42,29,24,14,0.6712,0.663,0.6939,0.8249,0.6733,0.5951,0.6629,0.5392,0.6414,3,0,1.0,17.4383,3.8237,10.592,236.0,14.0,631.0,0.494,0.0293,1.32,16.0,0.0,9.0,0.696,0.391,0.3619,-0.423,3.1563,0.6842,1.7579,1.0,0.715,8.0,5.0,5.0,20.0,3.0,22.4,39.0,79.0,49.0,13.0,6.0,7.0,2.167,0.291,1.0,0,90.6,9.1,0.2,-0.0,-0.24,-0.1,0.551809,-0.0290596181802472,-2.426862866370952,0.1338912133891213,0.1443514644351464,2676.12,133.81,35.0,60.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.906,0.7049,0.204,0.906,0.9044,0.8787,0.667,0.7201,0.6068,0.4869,1.0,8.62713142161203,0.0007851239669421,0.81,34.188919981486904,10.630773282039115,3.933969289382824,0.9741322314049587,0.0155975024366848,0.1652892561983471,0.140495867768595
Tyrosinerecomb-RT,11.456059455871582,-2.438518762588501,70203.4439,0.0922570016474464,41.46163097199347,9.7660737991333,0.3130148270181219,0.2668863261943986,0.4019769357495881,-0.2319604612850082,27,54,25,21,35,0.4385,0.4721,0.2661,0.528,0.3587,0.6354,0.8821,0.9346,0.9138,1,1,1.0,6.0337,3.8187,0.3183,344.0,19.0,840.0,0.567,0.0313,1.384,11.0,1.0,9.0,0.478,0.391,0.3756,-0.232,3.1653,0.6316,1.2737,1.0,0.76,4.0,2.0,5.0,25.0,5.0,21.8,42.4,100.0,64.0,14.0,8.0,6.0,1.75,0.14,1.0,0,91.7,7.8,0.5,0.01,-0.37,-0.14,-0.967489,-0.2857481729249869,-2.702579748184631,0.2092257001647446,0.0658978583196046,2476.3,123.81,35.0,55.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.878,0.7204,0.178,0.8685,0.878,0.7418,0.7077,0.6771,0.6747,0.5371,1.0,8.429518543947765,0.0,0.81,54.24119182779668,10.939639239845665,3.944038347149271,0.965702479338843,0.0271478233831847,0.1487603305785124,0.0909090909090909
Vc95-RT,4.9379072189331055,-1.596941590309143,36256.8488,0.0796178343949044,47.31783439490445,9.98404140472412,0.2834394904458598,0.2738853503184713,0.4044585987261146,-0.2840764331210191,19,29,11,12,25,0.04784,0.03878,0.0637,0.06404,0.04694,0.06118,0.03922,0.01211,0.005826,0,0,1.0,24.9195,3.8063,16.3642,173.0,8.0,538.0,0.551,0.0255,1.713,3.0,0.0,11.0,0.143,0.524,0.3694,-0.2841,3.2912,0.4118,0.0353,1.0,0.713,7.0,5.0,7.0,10.0,1.0,16.0,50.8,67.0,44.0,11.0,4.0,7.0,2.75,0.194,1.0,0,92.8,6.6,0.7,0.22,-0.07,0.09,0.628979,-0.1361006491654145,-2.113778863876852,0.1624203821656051,0.1114649681528662,2170.34,108.52,10.0,65.0,25.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.9748,0.8496,0.457,0.6876,0.6888,0.7294,0.9748,0.5663,0.8172,0.6965,1.0,4.195584414063396,0.0439256198347107,0.82,10.568739688264214,10.817451472036756,3.920788425296024,0.9227272727272728,0.0440824770024501,0.1652892561983471,0.0826446280991735
Vp96-RT,3.6685757637023926,-1.2998034954071045,36051.0329,0.1121794871794871,33.53942307692307,9.339357566833495,0.3237179487179487,0.2564102564102564,0.4006410256410256,-0.3455128205128205,14,30,13,19,12,0.04386,0.01868,0.02309,0.02173,0.02657,0.03622,0.02435,0.02109,0.004378,0,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359,-0.3455,3.1457,,,,,,,,,,,,,,,,,,,,0,0.0,100.0,0.0,,,,0.618327,-0.1197288620301856,-2.138231745790734,0.1634615384615384,0.1153846153846153,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9785,0.8625,0.579,0.7162,0.6835,0.728,0.9785,0.5619,0.7987,0.6841,1.0,,0.0,0.0,,,0.0,,,0.1239669421487603,0.0991735537190082
WDSV-RT,9.78903102874756,-2.2812623977661133,76353.25690000001,0.077485380116959,44.80131578947383,8.51055202484131,0.3099415204678362,0.2587719298245614,0.3859649122807017,-0.1219298245614035,27,44,38,27,6,0.5442,0.5673,0.4749,0.7104,0.4396,0.5719,0.8463,0.639,0.5477,1,1,1.0,6.2681,3.8012,0.3201,353.0,20.0,896.0,0.516,0.0292,1.31,14.0,0.0,12.0,0.583,0.5,0.3962,-0.1219,3.0699,0.7,1.945,1.0,0.81,5.0,6.0,5.0,23.0,6.0,22.1,37.3,86.0,50.0,10.0,9.0,1.0,1.111,0.395,0.0,0,89.5,9.8,0.7,-0.07,-0.41,-0.21,-1.012724,-0.255550315921854,-2.743554822411587,0.2280701754385964,0.1096491228070175,3075.41,153.77,60.0,40.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9522,0.8283,0.391,0.9522,0.9358,0.921,0.8189,0.6012,0.5976,0.5488,1.0,6.534673547427625,0.0,0.775,69.23143379570618,10.854986951871863,3.9346538805911,0.9702479338842976,0.0156483585021539,0.1570247933884297,0.0909090909090909
WMSV-RT,3.248924016952514,-1.1783238649368286,74741.3015,0.0744047619047619,44.43273809523821,9.291135215759276,0.3541666666666667,0.2633928571428571,0.3675595238095238,-0.2787202380952381,43,41,29,39,16,0.7232,0.8445,0.828,0.925,0.8354,0.9353,0.9037,0.5032,0.2916,3,0,1.0,6.1635,3.8303,0.1637,365.0,19.0,896.0,0.543,0.0283,1.333,18.0,0.0,14.0,0.75,0.583,0.3765,-0.2787,3.037,0.6,1.095,1.0,0.75,5.0,6.0,5.0,24.0,6.0,22.7,36.1,86.0,52.0,10.0,7.0,3.0,1.429,0.709,1.0,0,92.7,7.1,0.2,-0.05,-0.39,-0.19,0.463192,-0.008411465831943,-2.659722670212874,0.1413690476190476,0.119047619047619,2709.67,135.48,35.0,65.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9792,0.8646,0.725,0.9768,0.9792,0.9608,0.7744,0.5934,0.6557,0.5218,1.0,16.79350059338905,0.0,0.765,66.78413979705941,12.211919223208382,3.946138610232473,0.9541322314049588,0.0315623345972273,0.1487603305785124,0.1074380165289256
"retronE,coli-RT",2.7406647205352783,-1.0082005262374878,37511.2831,0.0870870870870871,44.61471471471469,10.027106285095217,0.3093093093093093,0.2912912912912913,0.3753753753753754,-0.2477477477477478,22,31,10,14,29,0.5084,0.5557,0.4808,0.576,0.5067,0.3135,0.1814,0.3492,0.3125,1,1,1.0,8.6581,3.8484,4.8709,171.0,6.0,520.0,0.514,0.018,1.562,3.0,0.0,14.0,0.15,0.7,0.3634,-0.2477,3.1319,0.4375,0.525,1.0,0.77,7.0,7.0,7.0,10.0,1.0,14.8,51.5,62.0,44.0,13.0,6.0,7.0,2.167,1.0,1.0,0,89.2,10.5,0.3,0.05,-0.33,-0.1,0.573197,-0.0914389860794546,-2.111644123344586,0.1711711711711711,0.1321321321321321,2349.18,117.46,30.0,50.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.9178,0.8425,0.955,0.6999,0.6897,0.7214,0.9178,0.5653,0.8224,0.7375,0.0,,0.046694214876033,0.84,11.8693878720497,10.433556137911635,3.925771635415412,0.9839669421487606,0.0078916039154616,0.1570247933884297,0.0495867768595041
